gufi,timestamp,airport,minutes_until_pushback
AAL1227.ATL.MIA.201114.1242.0052.TFM,2020-11-15 11:15:00,KATL,86
AAL1227.ATL.MIA.201114.1242.0052.TFM,2020-11-15 12:00:00,KATL,41
AAL153.ATL.CLT.201114.1137.0016.TFM,2020-11-15 10:30:00,KATL,62
AAL153.ATL.CLT.201114.1137.0016.TFM,2020-11-15 11:15:00,KATL,17
AAL1567.ATL.DFW.201114.1257.0271.TFM,2020-11-15 12:00:00,KATL,53
AAL251.ATL.ORD.201114.1122.0010.TFM,2020-11-15 10:30:00,KATL,51
AAL251.ATL.ORD.201114.1122.0010.TFM,2020-11-15 11:15:00,KATL,6
AAL2555.ATL.PHX.201114.1112.0040.TFM,2020-11-15 09:45:00,KATL,81
AAL2555.ATL.PHX.201114.1112.0040.TFM,2020-11-15 10:30:00,KATL,36
AAL2770.ATL.DFW.201114.1112.0029.TFM,2020-11-15 09:45:00,KATL,88
AAL2770.ATL.DFW.201114.1112.0029.TFM,2020-11-15 10:30:00,KATL,43
ASA443.ATL.SEA.201114.1257.0110.TFM,2020-11-15 12:00:00,KATL,60
DAL1046.ATL.MSP.201114.0043.0003.TFM,2020-11-15 00:00:00,KATL,40
DAL1052.ATL.MSP.201114.1302.0049.TFM,2020-11-15 12:00:00,KATL,61
DAL1061.ATL.DEN.201114.1302.0037.TFM,2020-11-15 12:00:00,KATL,59
DAL1079.ATL.MCO.201114.0207.0053.TFM,2020-11-15 00:45:00,KATL,89
DAL1079.ATL.MCO.201114.0207.0053.TFM,2020-11-15 01:30:00,KATL,44
DAL1084.ATL.MSP.201114.0307.0032.TFM,2020-11-15 02:15:00,KATL,73
DAL1084.ATL.MSP.201114.0307.0032.TFM,2020-11-15 03:00:00,KATL,28
DAL1113.ATL.PHX.201114.0252.0062.TFM,2020-11-15 01:30:00,KATL,78
DAL1113.ATL.PHX.201114.0252.0062.TFM,2020-11-15 02:15:00,KATL,33
DAL1131.ATL.DTW.201114.0312.0019.TFM,2020-11-15 02:15:00,KATL,53
DAL1131.ATL.DTW.201114.0312.0019.TFM,2020-11-15 03:00:00,KATL,8
DAL1134.ATL.DTW.201114.0053.0003.TFM,2020-11-15 00:00:00,KATL,47
DAL1134.ATL.DTW.201114.0053.0003.TFM,2020-11-15 00:45:00,KATL,2
DAL1143.ATL.DTW.201114.1202.0055.TFM,2020-11-15 11:15:00,KATL,47
DAL1143.ATL.DTW.201114.1202.0055.TFM,2020-11-15 12:00:00,KATL,2
