gufi,timestamp,airport,minutes_until_pushback
AAL1011.CLT.MSY.201114.0152.0042.TFM,2020-11-15 00:45:00,KCLT,63
AAL1011.CLT.MSY.201114.0152.0042.TFM,2020-11-15 01:30:00,KCLT,18
AAL1164.CLT.MEM.201114.0107.0060.TFM,2020-11-15 00:00:00,KCLT,60
AAL1164.CLT.MEM.201114.0107.0060.TFM,2020-11-15 00:45:00,KCLT,15
AAL1294.CLT.PBI.201114.0117.0044.TFM,2020-11-15 00:00:00,KCLT,71
AAL1294.CLT.PBI.201114.0117.0044.TFM,2020-11-15 00:45:00,KCLT,26
AAL1428.CLT.DEN.201114.0132.0068.TFM,2020-11-15 00:45:00,KCLT,48
AAL1428.CLT.DEN.201114.0132.0068.TFM,2020-11-15 01:30:00,KCLT,3
AAL1459.CLT.BOS.201114.0128.0003.TFM,2020-11-15 00:00:00,KCLT,86
AAL1459.CLT.BOS.201114.0128.0003.TFM,2020-11-15 00:45:00,KCLT,41
AAL1460.CLT.MIA.201114.0107.0063.TFM,2020-11-15 00:00:00,KCLT,62
AAL1460.CLT.MIA.201114.0107.0063.TFM,2020-11-15 00:45:00,KCLT,17
AAL1645.CLT.RDU.201114.0137.0045.TFM,2020-11-15 00:45:00,KCLT,63
AAL1645.CLT.RDU.201114.0137.0045.TFM,2020-11-15 01:30:00,KCLT,18
AAL1672.CLT.TPA.201114.0148.0014.TFM,2020-11-15 00:45:00,KCLT,63
AAL1672.CLT.TPA.201114.0148.0014.TFM,2020-11-15 01:30:00,KCLT,18
AAL1749.CLT.PIT.201114.0117.0058.TFM,2020-11-15 00:00:00,KCLT,77
AAL1749.CLT.PIT.201114.0117.0058.TFM,2020-11-15 00:45:00,KCLT,32
AAL1784.CLT.PHL.201114.0128.0013.TFM,2020-11-15 00:45:00,KCLT,39
AAL1843.CLT.RIC.201114.0117.0049.TFM,2020-11-15 00:00:00,KCLT,76
AAL1843.CLT.RIC.201114.0117.0049.TFM,2020-11-15 00:45:00,KCLT,31
AAL1938.CLT.ORF.201114.0128.0005.TFM,2020-11-15 00:00:00,KCLT,81
AAL1938.CLT.ORF.201114.0128.0005.TFM,2020-11-15 00:45:00,KCLT,36
AAL2004.CLT.JAX.201114.0137.0047.TFM,2020-11-15 00:45:00,KCLT,43
AAL2056.CLT.BDL.201114.0137.0043.TFM,2020-11-15 00:45:00,KCLT,59
AAL2056.CLT.BDL.201114.0137.0043.TFM,2020-11-15 01:30:00,KCLT,14
AAL2088.CLT.LAS.201114.0128.0012.TFM,2020-11-15 00:00:00,KCLT,83
AAL2088.CLT.LAS.201114.0128.0012.TFM,2020-11-15 00:45:00,KCLT,38
AAL2089.CLT.LGA.201114.0132.0065.TFM,2020-11-15 00:45:00,KCLT,47
AAL2089.CLT.LGA.201114.0132.0065.TFM,2020-11-15 01:30:00,KCLT,2
AAL2198.CLT.DCA.201114.0128.0015.TFM,2020-11-15 00:00:00,KCLT,84
AAL2198.CLT.DCA.201114.0128.0015.TFM,2020-11-15 00:45:00,KCLT,39
AAL2223.CLT.FLL.201114.0137.0039.TFM,2020-11-15 00:45:00,KCLT,46
AAL2223.CLT.FLL.201114.0137.0039.TFM,2020-11-15 01:30:00,KCLT,1
AAL2246.CLT.GSO.201114.0128.0009.TFM,2020-11-15 00:45:00,KCLT,39
AAL2257.CLT.ORD.201114.0122.0039.TFM,2020-11-15 00:00:00,KCLT,98
AAL2257.CLT.ORD.201114.0122.0039.TFM,2020-11-15 00:45:00,KCLT,53
AAL2257.CLT.ORD.201114.0122.0039.TFM,2020-11-15 01:30:00,KCLT,8
AAL2375.CLT.PWM.201114.0142.0073.TFM,2020-11-15 00:45:00,KCLT,56
AAL2375.CLT.PWM.201114.0142.0073.TFM,2020-11-15 01:30:00,KCLT,11
AAL2441.CLT.SAT.201114.0112.0063.TFM,2020-11-15 00:00:00,KCLT,61
AAL2441.CLT.SAT.201114.0112.0063.TFM,2020-11-15 00:45:00,KCLT,16
AAL2602.CLT.DFW.201114.0112.0067.TFM,2020-11-15 00:00:00,KCLT,65
AAL2602.CLT.DFW.201114.0112.0067.TFM,2020-11-15 00:45:00,KCLT,20
AAL2677.CLT.ATL.201114.0148.0019.TFM,2020-11-15 00:45:00,KCLT,57
AAL2677.CLT.ATL.201114.0148.0019.TFM,2020-11-15 01:30:00,KCLT,12
AAL2794.CLT.EWR.201114.0137.0037.TFM,2020-11-15 00:45:00,KCLT,59
AAL2794.CLT.EWR.201114.0137.0037.TFM,2020-11-15 01:30:00,KCLT,14
