gufi,timestamp,airport,minutes_until_pushback
AAL1085.DEN.DFW.201114.1257.0267.TFM,2020-11-15 12:00:00,KDEN,56
AAL2222.DEN.MIA.201114.1217.0009.TFM,2020-11-15 11:15:00,KDEN,58
AAL2222.DEN.MIA.201114.1217.0009.TFM,2020-11-15 12:00:00,KDEN,13
ASA1177.DEN.SEA.201114.0132.0054.TFM,2020-11-15 00:45:00,KDEN,45
ASA741.DEN.SEA.201114.0023.0034.TFM,2020-11-15 00:00:00,KDEN,20
DAL1001.DEN.ATL.201114.1307.0031.TFM,2020-11-15 12:00:00,KDEN,67
DAL1192.DEN.LAX.201114.0117.0057.TFM,2020-11-15 00:00:00,KDEN,74
DAL1192.DEN.LAX.201114.0117.0057.TFM,2020-11-15 00:45:00,KDEN,29
DAL1398.DEN.MSP.201114.1312.0092.TFM,2020-11-15 12:00:00,KDEN,72
DAL1568.DEN.SLC.201114.1257.0100.TFM,2020-11-15 12:00:00,KDEN,59
DAL1577.DEN.SLC.201114.0007.0042.TFM,2020-11-15 00:00:00,KDEN,1
DAL2100.DEN.ATL.201114.0743.0004.TFM,2020-11-15 06:45:00,KDEN,50
DAL2100.DEN.ATL.201114.0743.0004.TFM,2020-11-15 07:30:00,KDEN,5
DAL544.DEN.JFK.201114.0652.0004.TFM,2020-11-15 06:00:00,KDEN,48
DAL544.DEN.JFK.201114.0652.0004.TFM,2020-11-15 06:45:00,KDEN,3
DAL745.DEN.SEA.201114.0122.0026.TFM,2020-11-15 00:00:00,KDEN,75
DAL745.DEN.SEA.201114.0122.0026.TFM,2020-11-15 00:45:00,KDEN,30
EJA420.DEN.BFI.201114.0223.0031.TFM,2020-11-15 00:00:00,KDEN,30
FFT143.DEN.SEA.201114.1257.0213.TFM,2020-11-15 12:00:00,KDEN,53
FFT172.DEN.PHL.201114.0807.0006.TFM,2020-11-15 06:45:00,KDEN,78
FFT172.DEN.PHL.201114.0807.0006.TFM,2020-11-15 07:30:00,KDEN,33
FFT190.DEN.AUS.201114.0112.0031.TFM,2020-11-15 00:00:00,KDEN,66
FFT190.DEN.AUS.201114.0112.0031.TFM,2020-11-15 00:45:00,KDEN,21
FFT264.DEN.DFW.201114.0402.0016.TFM,2020-11-15 03:00:00,KDEN,53
FFT264.DEN.DFW.201114.0402.0016.TFM,2020-11-15 03:45:00,KDEN,8
FFT551.DEN.SAN.201114.0507.0007.TFM,2020-11-15 03:45:00,KDEN,87
FFT551.DEN.SAN.201114.0507.0007.TFM,2020-11-15 04:30:00,KDEN,42
FFT573.DEN.SLC.201114.0522.0009.TFM,2020-11-15 04:30:00,KDEN,47
FFT573.DEN.SLC.201114.0522.0009.TFM,2020-11-15 05:15:00,KDEN,2
FFT606.DEN.IND.201114.1307.0055.TFM,2020-11-15 12:00:00,KDEN,65
FFT614.DEN.MIA.201114.0752.0003.TFM,2020-11-15 06:45:00,KDEN,72
FFT614.DEN.MIA.201114.0752.0003.TFM,2020-11-15 07:30:00,KDEN,27
FFT678.DEN.MCO.201114.0652.0009.TFM,2020-11-15 06:00:00,KDEN,57
FFT678.DEN.MCO.201114.0652.0009.TFM,2020-11-15 06:45:00,KDEN,12
FFT753.DEN.PHX.201114.0537.0012.TFM,2020-11-15 04:30:00,KDEN,57
FFT753.DEN.PHX.201114.0537.0012.TFM,2020-11-15 05:15:00,KDEN,12
FFT773.DEN.LAS.201114.0552.0003.TFM,2020-11-15 04:30:00,KDEN,73
FFT773.DEN.LAS.201114.0552.0003.TFM,2020-11-15 05:15:00,KDEN,28
FFT793.DEN.PDX.201114.1302.0053.TFM,2020-11-15 12:00:00,KDEN,65
SKW3013.DEN.LAX.201114.0112.0037.TFM,2020-11-15 00:00:00,KDEN,71
SKW3013.DEN.LAX.201114.0112.0037.TFM,2020-11-15 00:45:00,KDEN,26
SKW3043.DEN.LAX.201114.1257.0053.TFM,2020-11-15 12:00:00,KDEN,56
SKW375Y.DEN.TUS.201114.0217.0022.TFM,2020-11-15 00:45:00,KDEN,99
SKW375Y.DEN.TUS.201114.0217.0022.TFM,2020-11-15 01:30:00,KDEN,54
SKW375Y.DEN.TUS.201114.0217.0022.TFM,2020-11-15 02:15:00,KDEN,9
SKW426R.DEN.RKS.201114.0307.0021.TFM,2020-11-15 02:15:00,KDEN,45
SKW4666.DEN.CID.201114.0057.0056.TFM,2020-11-15 00:00:00,KDEN,55
SKW4666.DEN.CID.201114.0057.0056.TFM,2020-11-15 00:45:00,KDEN,10
SKW4672.DEN.CPR.201114.0217.0021.TFM,2020-11-15 01:30:00,KDEN,44
SKW4684.DEN.GTF.201114.0222.0075.TFM,2020-11-15 01:30:00,KDEN,152
SKW4684.DEN.GTF.201114.0222.0075.TFM,2020-11-15 02:15:00,KDEN,107
SKW4684.DEN.GTF.201114.0222.0075.TFM,2020-11-15 03:00:00,KDEN,62
SKW4684.DEN.GTF.201114.0222.0075.TFM,2020-11-15 03:45:00,KDEN,17
SKW4691.DEN.HLN.201114.0222.0044.TFM,2020-11-15 01:30:00,KDEN,46
SKW4691.DEN.HLN.201114.0222.0044.TFM,2020-11-15 02:15:00,KDEN,1
SKW4694.DEN.LBB.201114.0257.0051.TFM,2020-11-15 01:30:00,KDEN,86
SKW4694.DEN.LBB.201114.0257.0051.TFM,2020-11-15 02:15:00,KDEN,41
SKW4701.DEN.MOT.201114.0252.0037.TFM,2020-11-15 01:30:00,KDEN,73
SKW4701.DEN.MOT.201114.0252.0037.TFM,2020-11-15 02:15:00,KDEN,28
SKW4717.DEN.STL.201114.0103.0036.TFM,2020-11-15 00:00:00,KDEN,65
SKW4717.DEN.STL.201114.0103.0036.TFM,2020-11-15 00:45:00,KDEN,20
SKW4749.DEN.ABQ.201114.0247.0027.TFM,2020-11-15 01:30:00,KDEN,71
SKW4749.DEN.ABQ.201114.0247.0027.TFM,2020-11-15 02:15:00,KDEN,26
SKW4758.DEN.ASE.201114.0057.0043.TFM,2020-11-15 00:00:00,KDEN,89
SKW4758.DEN.ASE.201114.0057.0043.TFM,2020-11-15 00:45:00,KDEN,44
SKW4759.DEN.DTW.201114.0043.0040.TFM,2020-11-15 00:00:00,KDEN,39
SKW4764.DEN.AMA.201114.0107.0023.TFM,2020-11-15 00:00:00,KDEN,65
SKW4764.DEN.AMA.201114.0107.0023.TFM,2020-11-15 00:45:00,KDEN,20
SKW4766.DEN.COD.201114.0217.0016.TFM,2020-11-15 01:30:00,KDEN,45
SKW4773.DEN.BIS.201114.0103.0012.TFM,2020-11-15 00:00:00,KDEN,61
SKW4773.DEN.BIS.201114.0103.0012.TFM,2020-11-15 00:45:00,KDEN,16
SKW4778.DEN.SBA.201114.0237.0021.TFM,2020-11-15 01:30:00,KDEN,68
SKW4778.DEN.SBA.201114.0237.0021.TFM,2020-11-15 02:15:00,KDEN,23
SKW4780.DEN.CMH.201114.0057.0052.TFM,2020-11-15 00:00:00,KDEN,56
SKW4780.DEN.CMH.201114.0057.0052.TFM,2020-11-15 00:45:00,KDEN,11
SKW4781.DEN.ELP.201114.0047.0021.TFM,2020-11-15 00:00:00,KDEN,42
SKW4783.DEN.RDM.201114.0257.0054.TFM,2020-11-15 01:30:00,KDEN,79
SKW4783.DEN.RDM.201114.0257.0054.TFM,2020-11-15 02:15:00,KDEN,34
SKW4795.DEN.SBP.201114.0237.0024.TFM,2020-11-15 01:30:00,KDEN,64
SKW4795.DEN.SBP.201114.0237.0024.TFM,2020-11-15 02:15:00,KDEN,19
SKW4803.DEN.DIK.201114.0112.0011.TFM,2020-11-15 00:00:00,KDEN,62
SKW4803.DEN.DIK.201114.0112.0011.TFM,2020-11-15 00:45:00,KDEN,17
SKW4805.DEN.GRR.201114.0047.0016.TFM,2020-11-15 00:00:00,KDEN,48
SKW4805.DEN.GRR.201114.0047.0016.TFM,2020-11-15 00:45:00,KDEN,3
SKW5051.DEN.PUB.201114.0257.0058.TFM,2020-11-15 01:30:00,KDEN,81
SKW5051.DEN.PUB.201114.0257.0058.TFM,2020-11-15 02:15:00,KDEN,36
SKW5064.DEN.GCC.201114.0307.0012.TFM,2020-11-15 02:15:00,KDEN,49
SKW5064.DEN.GCC.201114.0307.0012.TFM,2020-11-15 03:00:00,KDEN,4
SKW5075.DEN.RKS.201114.0312.0010.TFM,2020-11-15 02:15:00,KDEN,45
SKW5079.DEN.LBF.201114.0103.0024.TFM,2020-11-15 00:00:00,KDEN,137
SKW5079.DEN.LBF.201114.0103.0024.TFM,2020-11-15 00:45:00,KDEN,92
SKW5079.DEN.LBF.201114.0103.0024.TFM,2020-11-15 01:30:00,KDEN,47
SKW5079.DEN.LBF.201114.0103.0024.TFM,2020-11-15 02:15:00,KDEN,2
SKW5104.DEN.JMS.201114.0217.0028.TFM,2020-11-15 01:30:00,KDEN,49
SKW5104.DEN.JMS.201114.0217.0028.TFM,2020-11-15 02:15:00,KDEN,4
SKW5106.DEN.LAR.201114.0227.0039.TFM,2020-11-15 01:30:00,KDEN,53
SKW5106.DEN.LAR.201114.0227.0039.TFM,2020-11-15 02:15:00,KDEN,8
SKW5107.DEN.EAR.201114.0057.0050.TFM,2020-11-15 00:00:00,KDEN,55
SKW5107.DEN.EAR.201114.0057.0050.TFM,2020-11-15 00:45:00,KDEN,10
SKW5111.DEN.BFF.201114.0112.0026.TFM,2020-11-15 00:00:00,KDEN,70
SKW5111.DEN.BFF.201114.0112.0026.TFM,2020-11-15 00:45:00,KDEN,25
SKW5116.DEN.SGU.201114.0307.0018.TFM,2020-11-15 02:15:00,KDEN,50
SKW5116.DEN.SGU.201114.0307.0018.TFM,2020-11-15 03:00:00,KDEN,5
SKW5181.DEN.SHR.201114.0307.0011.TFM,2020-11-15 02:15:00,KDEN,47
SKW5181.DEN.SHR.201114.0307.0011.TFM,2020-11-15 03:00:00,KDEN,2
SKW5190.DEN.RIW.201114.0307.0015.TFM,2020-11-15 02:15:00,KDEN,91
SKW5190.DEN.RIW.201114.0307.0015.TFM,2020-11-15 03:00:00,KDEN,46
SKW5190.DEN.RIW.201114.0307.0015.TFM,2020-11-15 03:45:00,KDEN,1
SKW5202.DEN.CYS.201114.0307.0022.TFM,2020-11-15 02:15:00,KDEN,53
SKW5202.DEN.CYS.201114.0307.0022.TFM,2020-11-15 03:00:00,KDEN,8
SKW5214.DEN.TUL.201114.0043.0024.TFM,2020-11-15 00:00:00,KDEN,36
SKW5215.DEN.FAR.201114.0103.0004.TFM,2020-11-15 00:00:00,KDEN,56
SKW5215.DEN.FAR.201114.0103.0004.TFM,2020-11-15 00:45:00,KDEN,11
SKW5217.DEN.SJC.201114.0237.0019.TFM,2020-11-15 01:30:00,KDEN,69
SKW5217.DEN.SJC.201114.0237.0019.TFM,2020-11-15 02:15:00,KDEN,24
SKW5220.DEN.MAF.201114.0103.0010.TFM,2020-11-15 00:00:00,KDEN,62
SKW5220.DEN.MAF.201114.0103.0010.TFM,2020-11-15 00:45:00,KDEN,17
SKW5223.DEN.MEM.201114.0047.0019.TFM,2020-11-15 00:00:00,KDEN,48
SKW5223.DEN.MEM.201114.0047.0019.TFM,2020-11-15 00:45:00,KDEN,3
SKW5231.DEN.SAT.201114.0057.0053.TFM,2020-11-15 00:00:00,KDEN,57
SKW5231.DEN.SAT.201114.0057.0053.TFM,2020-11-15 00:45:00,KDEN,12
SKW5249.DEN.BNA.201114.0047.0026.TFM,2020-11-15 00:00:00,KDEN,45
SKW5257.DEN.OKC.201114.0052.0037.TFM,2020-11-15 00:00:00,KDEN,53
SKW5257.DEN.OKC.201114.0052.0037.TFM,2020-11-15 00:45:00,KDEN,8
SKW5263.DEN.IDA.201114.0257.0065.TFM,2020-11-15 01:30:00,KDEN,89
SKW5263.DEN.IDA.201114.0257.0065.TFM,2020-11-15 02:15:00,KDEN,44
SKW5298.DEN.SLC.201114.0047.0028.TFM,2020-11-15 00:00:00,KDEN,50
SKW5298.DEN.SLC.201114.0047.0028.TFM,2020-11-15 00:45:00,KDEN,5
SKW5304.DEN.XWA.201114.0052.0054.TFM,2020-11-15 00:00:00,KDEN,49
SKW5304.DEN.XWA.201114.0052.0054.TFM,2020-11-15 00:45:00,KDEN,4
SKW5307.DEN.TUS.201114.0222.0076.TFM,2020-11-15 01:30:00,KDEN,54
SKW5307.DEN.TUS.201114.0222.0076.TFM,2020-11-15 02:15:00,KDEN,9
SKW5314.DEN.GJT.201114.0252.0039.TFM,2020-11-15 01:30:00,KDEN,75
SKW5314.DEN.GJT.201114.0252.0039.TFM,2020-11-15 02:15:00,KDEN,30
SKW5330.DEN.MSN.201114.0103.0039.TFM,2020-11-15 00:00:00,KDEN,55
SKW5330.DEN.MSN.201114.0103.0039.TFM,2020-11-15 00:45:00,KDEN,10
SKW5347.DEN.BHM.201114.0047.0020.TFM,2020-11-15 00:00:00,KDEN,44
SKW5357.DEN.DRO.201114.0302.0015.TFM,2020-11-15 01:30:00,KDEN,82
SKW5357.DEN.DRO.201114.0302.0015.TFM,2020-11-15 02:15:00,KDEN,37
SKW5435.DEN.SAF.201114.0307.0017.TFM,2020-11-15 02:15:00,KDEN,47
SKW5435.DEN.SAF.201114.0307.0017.TFM,2020-11-15 03:00:00,KDEN,2
SKW5444.DEN.ICT.201114.0047.0024.TFM,2020-11-15 00:00:00,KDEN,51
SKW5444.DEN.ICT.201114.0047.0024.TFM,2020-11-15 00:45:00,KDEN,6
SKW5485.DEN.CLT.201114.0043.0036.TFM,2020-11-15 00:00:00,KDEN,43
SKW5518.DEN.SDF.201114.0103.0027.TFM,2020-11-15 00:00:00,KDEN,59
SKW5518.DEN.SDF.201114.0103.0027.TFM,2020-11-15 00:45:00,KDEN,14
SKW5528.DEN.PAE.201114.0237.0025.TFM,2020-11-15 01:30:00,KDEN,64
SKW5528.DEN.PAE.201114.0237.0025.TFM,2020-11-15 02:15:00,KDEN,19
SKW5565.DEN.FAT.201114.0247.0036.TFM,2020-11-15 01:30:00,KDEN,73
SKW5565.DEN.FAT.201114.0247.0036.TFM,2020-11-15 02:15:00,KDEN,28
SKW5592.DEN.SGF.201114.0057.0054.TFM,2020-11-15 00:00:00,KDEN,58
SKW5592.DEN.SGF.201114.0057.0054.TFM,2020-11-15 00:45:00,KDEN,13
SKW5597.DEN.ASE.201114.0222.0034.TFM,2020-11-15 01:30:00,KDEN,50
SKW5597.DEN.ASE.201114.0222.0034.TFM,2020-11-15 02:15:00,KDEN,5
SKW5615.DEN.PSC.201114.0227.0048.TFM,2020-11-15 01:30:00,KDEN,55
SKW5615.DEN.PSC.201114.0227.0048.TFM,2020-11-15 02:15:00,KDEN,10
SKW5624.DEN.MKE.201114.0057.0049.TFM,2020-11-15 00:00:00,KDEN,55
SKW5624.DEN.MKE.201114.0057.0049.TFM,2020-11-15 00:45:00,KDEN,10
