gufi,timestamp,airport,minutes_until_pushback
AAL1018.DFW.SJC.201114.0107.0052.TFM,2020-11-15 00:00:00,KDFW,74
AAL1018.DFW.SJC.201114.0107.0052.TFM,2020-11-15 00:45:00,KDFW,29
AAL1060.DFW.SAN.201114.0058.0053.TFM,2020-11-15 00:00:00,KDFW,56
AAL1060.DFW.SAN.201114.0058.0053.TFM,2020-11-15 00:45:00,KDFW,11
AAL1072.DFW.LAS.201114.0142.0077.TFM,2020-11-15 00:45:00,KDFW,56
AAL1072.DFW.LAS.201114.0142.0077.TFM,2020-11-15 01:30:00,KDFW,11
AAL1074.DFW.BOI.201114.0053.0015.TFM,2020-11-15 00:00:00,KDFW,56
AAL1074.DFW.BOI.201114.0053.0015.TFM,2020-11-15 00:45:00,KDFW,11
AAL1076.DFW.BNA.201114.0053.0014.TFM,2020-11-15 00:00:00,KDFW,65
AAL1076.DFW.BNA.201114.0053.0014.TFM,2020-11-15 00:45:00,KDFW,20
AAL1086.DFW.PSP.201114.0103.0019.TFM,2020-11-15 00:00:00,KDFW,65
AAL1086.DFW.PSP.201114.0103.0019.TFM,2020-11-15 00:45:00,KDFW,20
AAL1095.DFW.GEG.201113.2247.0052.TFM,2020-11-15 00:00:00,KDFW,91
AAL1095.DFW.GEG.201113.2247.0052.TFM,2020-11-15 00:45:00,KDFW,46
AAL1095.DFW.GEG.201113.2247.0052.TFM,2020-11-15 01:30:00,KDFW,1
AAL1123.DFW.BOG.201114.0003.0015.TFM,2020-11-15 00:00:00,KDFW,4
AAL1133.DFW.RIC.201114.0037.0019.TFM,2020-11-15 00:00:00,KDFW,37
AAL1186.DFW.AUS.201114.0237.0042.TFM,2020-11-15 01:30:00,KDFW,65
AAL1186.DFW.AUS.201114.0237.0042.TFM,2020-11-15 02:15:00,KDFW,20
AAL1207.DFW.TUS.201114.0247.0022.TFM,2020-11-15 02:15:00,KDFW,29
AAL1241.DFW.SEA.201114.0047.0047.TFM,2020-11-15 00:00:00,KDFW,47
AAL1241.DFW.SEA.201114.0047.0047.TFM,2020-11-15 00:45:00,KDFW,2
AAL1258.DFW.ORD.201114.0037.0022.TFM,2020-11-15 00:00:00,KDFW,37
AAL1272.DFW.ATL.201114.0107.0048.TFM,2020-11-15 00:00:00,KDFW,79
AAL1272.DFW.ATL.201114.0107.0048.TFM,2020-11-15 00:45:00,KDFW,34
AAL1284.DFW.FAT.201114.0107.0050.TFM,2020-11-15 00:00:00,KDFW,65
AAL1284.DFW.FAT.201114.0107.0050.TFM,2020-11-15 00:45:00,KDFW,20
AAL1291.DFW.IAD.201114.0032.0051.TFM,2020-11-15 00:00:00,KDFW,47
AAL1291.DFW.IAD.201114.0032.0051.TFM,2020-11-15 00:45:00,KDFW,2
AAL1422.DFW.CHS.201114.0032.0057.TFM,2020-11-15 00:00:00,KDFW,29
AAL1425.DFW.BDL.201114.0043.0023.TFM,2020-11-15 00:00:00,KDFW,41
AAL1430.DFW.SFO.201114.0047.0056.TFM,2020-11-15 00:00:00,KDFW,55
AAL1430.DFW.SFO.201114.0047.0056.TFM,2020-11-15 00:45:00,KDFW,10
AAL1446.DFW.TUL.201114.0232.0048.TFM,2020-11-15 01:30:00,KDFW,61
AAL1446.DFW.TUL.201114.0232.0048.TFM,2020-11-15 02:15:00,KDFW,16
AAL1463.DFW.RSW.201114.0043.0020.TFM,2020-11-15 00:00:00,KDFW,43
AAL1547.DFW.CUN.201114.0128.0019.TFM,2020-11-15 00:45:00,KDFW,39
AAL1571.DFW.SMF.201114.0242.0021.TFM,2020-11-15 01:30:00,KDFW,96
AAL1571.DFW.SMF.201114.0242.0021.TFM,2020-11-15 02:15:00,KDFW,51
AAL1571.DFW.SMF.201114.0242.0021.TFM,2020-11-15 03:00:00,KDFW,6
AAL1578.DFW.MSP.201114.0112.0053.TFM,2020-11-15 00:45:00,KDFW,24
AAL1612.DFW.DTW.201114.0037.0020.TFM,2020-11-15 00:00:00,KDFW,35
AAL1615.DFW.BWI.201114.0043.0006.TFM,2020-11-15 00:00:00,KDFW,70
AAL1615.DFW.BWI.201114.0043.0006.TFM,2020-11-15 00:45:00,KDFW,25
AAL1622.DFW.MIA.201114.0227.0034.TFM,2020-11-15 01:30:00,KDFW,55
AAL1622.DFW.MIA.201114.0227.0034.TFM,2020-11-15 02:15:00,KDFW,10
AAL1661.DFW.PIT.201114.0037.0034.TFM,2020-11-15 00:00:00,KDFW,71
AAL1661.DFW.PIT.201114.0037.0034.TFM,2020-11-15 00:45:00,KDFW,26
AAL1674.DFW.SMF.201114.0053.0013.TFM,2020-11-15 00:00:00,KDFW,53
AAL1674.DFW.SMF.201114.0053.0013.TFM,2020-11-15 00:45:00,KDFW,8
AAL1701.DFW.TPA.201114.0122.0031.TFM,2020-11-15 00:45:00,KDFW,31
AAL1744.DFW.MCO.201114.0032.0063.TFM,2020-11-15 00:00:00,KDFW,31
AAL1771.DFW.LAS.201114.0047.0035.TFM,2020-11-15 00:00:00,KDFW,46
AAL1771.DFW.LAS.201114.0047.0035.TFM,2020-11-15 00:45:00,KDFW,1
AAL1885.DFW.SLC.201114.0047.0051.TFM,2020-11-15 00:00:00,KDFW,50
AAL1885.DFW.SLC.201114.0047.0051.TFM,2020-11-15 00:45:00,KDFW,5
AAL1947.DFW.LAX.201114.0158.0060.TFM,2020-11-15 00:45:00,KDFW,72
AAL1947.DFW.LAX.201114.0158.0060.TFM,2020-11-15 01:30:00,KDFW,27
AAL1975.DFW.PBI.201114.0058.0031.TFM,2020-11-15 00:00:00,KDFW,100
AAL1975.DFW.PBI.201114.0058.0031.TFM,2020-11-15 00:45:00,KDFW,55
AAL1975.DFW.PBI.201114.0058.0031.TFM,2020-11-15 01:30:00,KDFW,10
AAL1986.DFW.PDX.201114.0107.0051.TFM,2020-11-15 00:45:00,KDFW,139
AAL1986.DFW.PDX.201114.0107.0051.TFM,2020-11-15 01:30:00,KDFW,94
AAL1986.DFW.PDX.201114.0107.0051.TFM,2020-11-15 02:15:00,KDFW,49
AAL1986.DFW.PDX.201114.0107.0051.TFM,2020-11-15 03:00:00,KDFW,4
AAL2044.DFW.ORD.201114.0227.0029.TFM,2020-11-15 01:30:00,KDFW,77
AAL2044.DFW.ORD.201114.0227.0029.TFM,2020-11-15 02:15:00,KDFW,32
AAL2045.DFW.SAT.201114.0047.0057.TFM,2020-11-15 00:00:00,KDFW,74
AAL2045.DFW.SAT.201114.0047.0057.TFM,2020-11-15 00:45:00,KDFW,29
AAL2094.DFW.IAH.201114.0047.0044.TFM,2020-11-15 00:00:00,KDFW,72
AAL2094.DFW.IAH.201114.0047.0044.TFM,2020-11-15 00:45:00,KDFW,27
AAL2112.DFW.LAX.201114.1257.0293.TFM,2020-11-15 12:00:00,KDFW,59
AAL2184.DFW.GDL.201114.0252.0048.TFM,2020-11-15 01:30:00,KDFW,80
AAL2184.DFW.GDL.201114.0252.0048.TFM,2020-11-15 02:15:00,KDFW,35
AAL2194.DFW.BOS.201114.0103.0033.TFM,2020-11-15 00:00:00,KDFW,90
AAL2194.DFW.BOS.201114.0103.0033.TFM,2020-11-15 00:45:00,KDFW,45
AAL2233.DFW.MEX.201113.2252.0071.TFM,2020-11-15 00:00:00,KDFW,127
AAL2233.DFW.MEX.201113.2252.0071.TFM,2020-11-15 00:45:00,KDFW,82
