gufi,timestamp,airport,minutes_until_pushback
AAL106.JFK.LHR.201114.0047.0066.TFM,2020-11-15 00:00:00,KJFK,50
AAL106.JFK.LHR.201114.0047.0066.TFM,2020-11-15 00:45:00,KJFK,5
AAL1327.JFK.CUN.201114.1317.0079.TFM,2020-11-15 12:00:00,KJFK,70
AAL1610.JFK.MIA.201114.1242.0054.TFM,2020-11-15 11:15:00,KJFK,86
AAL1610.JFK.MIA.201114.1242.0054.TFM,2020-11-15 12:00:00,KJFK,41
AAL1706.JFK.MIA.201114.1057.0148.TFM,2020-11-15 09:45:00,KJFK,69
AAL1706.JFK.MIA.201114.1057.0148.TFM,2020-11-15 10:30:00,KJFK,24
AAL2643.JFK.CLT.201114.1122.0022.TFM,2020-11-15 10:30:00,KJFK,46
AAL2643.JFK.CLT.201114.1122.0022.TFM,2020-11-15 11:15:00,KJFK,1
AAL76.JFK.SFO.201114.1227.0095.TFM,2020-11-15 11:15:00,KJFK,70
AAL76.JFK.SFO.201114.1227.0095.TFM,2020-11-15 12:00:00,KJFK,25
AAL9821.JFK.LHR.201114.0312.0011.TFM,2020-11-15 02:15:00,KJFK,51
AAL9821.JFK.LHR.201114.0312.0011.TFM,2020-11-15 03:00:00,KJFK,6
DAL1.JFK.LHR.201114.0028.0040.TFM,2020-11-15 00:00:00,KJFK,22
DAL1044.JFK.TPA.201114.0058.0032.TFM,2020-11-15 00:00:00,KJFK,51
DAL1044.JFK.TPA.201114.0058.0032.TFM,2020-11-15 00:45:00,KJFK,6
DAL1065.JFK.MCO.201114.1227.0106.TFM,2020-11-15 11:15:00,KJFK,70
DAL1065.JFK.MCO.201114.1227.0106.TFM,2020-11-15 12:00:00,KJFK,25
DAL1151.JFK.MCO.201114.0028.0036.TFM,2020-11-15 00:00:00,KJFK,25
DAL156.JFK.ACC.201114.0437.0006.TFM,2020-11-15 03:45:00,KJFK,66
DAL156.JFK.ACC.201114.0437.0006.TFM,2020-11-15 04:30:00,KJFK,21
DAL1644.JFK.FLL.201114.0023.0022.TFM,2020-11-15 00:00:00,KJFK,21
DAL1815.JFK.MBJ.201114.1312.0019.TFM,2020-11-15 12:00:00,KJFK,86
DAL1902.JFK.CUN.201114.1227.0100.TFM,2020-11-15 11:15:00,KJFK,70
DAL1902.JFK.CUN.201114.1227.0100.TFM,2020-11-15 12:00:00,KJFK,25
DAL1917.JFK.SDQ.201114.1327.0141.TFM,2020-11-15 12:00:00,KJFK,101
DAL2058.JFK.DEN.201114.0023.0021.TFM,2020-11-15 00:00:00,KJFK,19
DAL2063.JFK.TPA.201114.1207.0045.TFM,2020-11-15 11:15:00,KJFK,52
DAL2063.JFK.TPA.201114.1207.0045.TFM,2020-11-15 12:00:00,KJFK,7
DAL216.JFK.UNKN.201114.0047.0073.TFM,2020-11-15 00:00:00,KJFK,87
DAL216.JFK.UNKN.201114.0047.0073.TFM,2020-11-15 00:45:00,KJFK,42
DAL234.JFK.TLV.201114.0432.0009.TFM,2020-11-15 03:45:00,KJFK,45
DAL301.JFK.SFO.201114.1257.0130.TFM,2020-11-15 12:00:00,KJFK,61
DAL302.JFK.LAX.201114.1202.0057.TFM,2020-11-15 11:15:00,KJFK,51
DAL302.JFK.LAX.201114.1202.0057.TFM,2020-11-15 12:00:00,KJFK,6
DAL3336.JFK.MAD.201114.0032.0067.TFM,2020-11-15 00:00:00,KJFK,22
DAL341.JFK.LAS.201114.0053.0018.TFM,2020-11-15 00:00:00,KJFK,49
DAL341.JFK.LAS.201114.0053.0018.TFM,2020-11-15 00:45:00,KJFK,4
DAL417.JFK.ATL.201114.1307.0051.TFM,2020-11-15 12:00:00,KJFK,68
DAL424.JFK.ATL.201114.1107.0025.TFM,2020-11-15 09:45:00,KJFK,96
DAL424.JFK.ATL.201114.1107.0025.TFM,2020-11-15 10:30:00,KJFK,51
DAL424.JFK.ATL.201114.1107.0025.TFM,2020-11-15 11:15:00,KJFK,6
DAL428.JFK.SAN.201114.1227.0116.TFM,2020-11-15 11:15:00,KJFK,71
DAL428.JFK.SAN.201114.1227.0116.TFM,2020-11-15 12:00:00,KJFK,26
DAL613.JFK.AUA.201114.1302.0072.TFM,2020-11-15 12:00:00,KJFK,62
DAL639.JFK.SJU.201114.1257.0099.TFM,2020-11-15 12:00:00,KJFK,55
DAL703.JFK.FLL.201114.1157.0134.TFM,2020-11-15 10:30:00,KJFK,84
DAL703.JFK.FLL.201114.1157.0134.TFM,2020-11-15 11:15:00,KJFK,39
DAL706.JFK.SLC.201114.1212.0073.TFM,2020-11-15 11:15:00,KJFK,55
DAL706.JFK.SLC.201114.1212.0073.TFM,2020-11-15 12:00:00,KJFK,10
DAL737.JFK.MIA.201114.1227.0102.TFM,2020-11-15 11:15:00,KJFK,71
DAL737.JFK.MIA.201114.1227.0102.TFM,2020-11-15 12:00:00,KJFK,26
DAL875.JFK.DEN.201114.1327.0111.TFM,2020-11-15 12:00:00,KJFK,86
DAL985.JFK.MSP.201114.1157.0130.TFM,2020-11-15 10:30:00,KJFK,85
DAL985.JFK.MSP.201114.1157.0130.TFM,2020-11-15 11:15:00,KJFK,40
EDV4653.JFK.RDU.201114.0028.0039.TFM,2020-11-15 00:00:00,KJFK,24
EDV4984.JFK.ROC.201114.0047.0049.TFM,2020-11-15 00:00:00,KJFK,42
EDV4993.JFK.BUF.201114.0042.0047.TFM,2020-11-15 00:00:00,KJFK,43
EDV5180.JFK.DTW.201114.1057.0049.TFM,2020-11-15 09:45:00,KJFK,73
EDV5180.JFK.DTW.201114.1057.0049.TFM,2020-11-15 10:30:00,KJFK,28
EDV5205.JFK.JAX.201114.1257.0209.TFM,2020-11-15 12:00:00,KJFK,55
EDV5553.JFK.MSP.201115.1112.0005.TMA,2020-11-15 11:15:00,KJFK,108
EDV5553.JFK.MSP.201115.1112.0005.TMA,2020-11-15 12:00:00,KJFK,63
FDX644.JFK.MEM.201114.1413.0011.TFM,2020-11-15 12:00:00,KJFK,12
RPA5598.JFK.DCA.201114.0028.0080.TFM,2020-11-15 00:00:00,KJFK,24
RPA5740.JFK.BOS.201114.0052.0022.TFM,2020-11-15 00:00:00,KJFK,53
RPA5740.JFK.BOS.201114.0052.0022.TFM,2020-11-15 00:45:00,KJFK,8
