gufi,timestamp,airport,minutes_until_pushback
AAL2096.MEM.CLT.201114.1302.0042.TFM,2020-11-15 12:00:00,KMEM,57
ASH5732.MEM.PHX.201114.1157.0096.TFM,2020-11-15 11:15:00,KMEM,43
ASH6146.MEM.IAH.201114.1237.0029.TFM,2020-11-15 11:15:00,KMEM,90
ASH6146.MEM.IAH.201114.1237.0029.TFM,2020-11-15 12:00:00,KMEM,45
DAL1630.MEM.ATL.201114.0023.0035.TFM,2020-11-15 00:00:00,KMEM,20
DAL1648.MEM.ATL.201114.1202.0044.TFM,2020-11-15 11:15:00,KMEM,43
DAL438.MEM.LAX.201114.0058.0003.TFM,2020-11-15 00:00:00,KMEM,42
EDV4770.MEM.DTW.201114.1227.0108.TFM,2020-11-15 11:15:00,KMEM,74
EDV4770.MEM.DTW.201114.1227.0108.TFM,2020-11-15 12:00:00,KMEM,29
EDV4879.MEM.XNA.201115.0355.0026.TFM,2020-11-15 04:30:00,KMEM,31
EDV4985.MEM.MSP.201114.1327.0079.TFM,2020-11-15 12:00:00,KMEM,86
ENY3904.MEM.DFW.201114.1158.0015.TFM,2020-11-15 11:15:00,KMEM,42
FDX1585.MEM.IND.201115.0557.0030.TFM,2020-11-15 08:15:00,KMEM,44
FDX1591.MEM.BOI.201115.0413.0007.TFM,2020-11-15 08:15:00,KMEM,72
FDX1591.MEM.BOI.201115.0413.0007.TFM,2020-11-15 09:00:00,KMEM,27
FDX193.MEM.ANC.201114.1143.0007.TFM,2020-11-15 09:45:00,KMEM,65
FDX193.MEM.ANC.201114.1143.0007.TFM,2020-11-15 10:30:00,KMEM,20
FDX257.MEM.BQN.201114.0613.0003.TFM,2020-11-15 03:45:00,KMEM,61
FDX257.MEM.BQN.201114.0613.0003.TFM,2020-11-15 04:30:00,KMEM,16
FDX508.MEM.SMF.201114.0843.0008.TFM,2020-11-15 06:45:00,KMEM,143
FDX508.MEM.SMF.201114.0843.0008.TFM,2020-11-15 07:30:00,KMEM,98
FDX508.MEM.SMF.201114.0843.0008.TFM,2020-11-15 08:15:00,KMEM,53
