gufi,timestamp,airport,minutes_until_pushback
AAL1054.MIA.BOS.201114.0222.0039.TFM,2020-11-15 01:30:00,KMIA,49
AAL1054.MIA.BOS.201114.0222.0039.TFM,2020-11-15 02:15:00,KMIA,4
AAL1061.MIA.LAX.201114.0207.0051.TFM,2020-11-15 01:30:00,KMIA,65
AAL1061.MIA.LAX.201114.0207.0051.TFM,2020-11-15 02:15:00,KMIA,20
AAL1081.MIA.IAH.201114.0212.0031.TFM,2020-11-15 01:30:00,KMIA,39
AAL1137.MIA.BOG.201114.0207.0040.TFM,2020-11-15 00:45:00,KMIA,84
AAL1137.MIA.BOG.201114.0207.0040.TFM,2020-11-15 01:30:00,KMIA,39
AAL12.MIA.EWR.201114.0207.0056.TFM,2020-11-15 01:30:00,KMIA,38
AAL1282.MIA.CLE.201114.0212.0029.TFM,2020-11-15 01:30:00,KMIA,37
AAL1286.MIA.RDU.201114.0202.0028.TFM,2020-11-15 00:45:00,KMIA,110
AAL1286.MIA.RDU.201114.0202.0028.TFM,2020-11-15 01:30:00,KMIA,65
AAL1286.MIA.RDU.201114.0202.0028.TFM,2020-11-15 02:15:00,KMIA,20
AAL1357.MIA.JFK.201114.0227.0031.TFM,2020-11-15 01:30:00,KMIA,55
AAL1357.MIA.JFK.201114.0227.0031.TFM,2020-11-15 02:15:00,KMIA,10
AAL1390.MIA.DFW.201114.0232.0050.TFM,2020-11-15 01:30:00,KMIA,57
AAL1390.MIA.DFW.201114.0232.0050.TFM,2020-11-15 02:15:00,KMIA,12
AAL1638.MIA.ATL.201114.0232.0053.TFM,2020-11-15 01:30:00,KMIA,60
AAL1638.MIA.ATL.201114.0232.0053.TFM,2020-11-15 02:15:00,KMIA,15
AAL1739.MIA.CLT.201114.0227.0023.TFM,2020-11-15 01:30:00,KMIA,53
AAL1739.MIA.CLT.201114.0227.0023.TFM,2020-11-15 02:15:00,KMIA,8
AAL1797.MIA.STX.201113.2337.0086.TFM,2020-11-15 00:00:00,KMIA,23
AAL1921.MIA.TPA.201114.0212.0035.TFM,2020-11-15 01:30:00,KMIA,42
AAL1983.MIA.PHX.201114.1122.0026.TFM,2020-11-15 10:30:00,KMIA,41
AAL2179.MIA.RIC.201114.0222.0053.TFM,2020-11-15 01:30:00,KMIA,49
AAL2179.MIA.RIC.201114.0222.0053.TFM,2020-11-15 02:15:00,KMIA,4
AAL2202.MIA.UIO.201114.0013.0016.TFM,2020-11-15 00:00:00,KMIA,2
AAL225.MIA.SCL.201114.0227.0032.TFM,2020-11-15 01:30:00,KMIA,61
AAL225.MIA.SCL.201114.0227.0032.TFM,2020-11-15 02:15:00,KMIA,16
AAL2280.MIA.SFO.201114.0207.0046.TFM,2020-11-15 01:30:00,KMIA,38
AAL2289.MIA.LAX.201114.0023.0030.TFM,2020-11-15 00:00:00,KMIA,10
AAL2299.MIA.BNA.201114.0232.0042.TFM,2020-11-15 01:30:00,KMIA,59
AAL2299.MIA.BNA.201114.0232.0042.TFM,2020-11-15 02:15:00,KMIA,14
AAL2323.MIA.ORD.201114.0158.0052.TFM,2020-11-15 00:45:00,KMIA,76
AAL2323.MIA.ORD.201114.0158.0052.TFM,2020-11-15 01:30:00,KMIA,31
AAL2341.MIA.LAS.201114.0212.0022.TFM,2020-11-15 01:30:00,KMIA,41
AAL2409.MIA.STL.201114.0117.0056.TFM,2020-11-15 00:00:00,KMIA,73
AAL2409.MIA.STL.201114.0117.0056.TFM,2020-11-15 00:45:00,KMIA,28
AAL243.MIA.JFK.201114.0028.0057.TFM,2020-11-15 00:00:00,KMIA,21
AAL2524.MIA.DEN.201114.0207.0050.TFM,2020-11-15 00:45:00,KMIA,84
AAL2524.MIA.DEN.201114.0207.0050.TFM,2020-11-15 01:30:00,KMIA,39
AAL2539.MIA.BOS.201114.0058.0042.TFM,2020-11-15 00:00:00,KMIA,52
AAL2539.MIA.BOS.201114.0058.0042.TFM,2020-11-15 00:45:00,KMIA,7
AAL2575.MIA.DFW.201114.1158.0090.TFM,2020-11-15 11:15:00,KMIA,42
AAL264.MIA.LGA.201114.0152.0076.TFM,2020-11-15 00:45:00,KMIA,111
AAL264.MIA.LGA.201114.0152.0076.TFM,2020-11-15 01:30:00,KMIA,66
AAL264.MIA.LGA.201114.0152.0076.TFM,2020-11-15 02:15:00,KMIA,21
AAL2648.MIA.DCA.201114.0158.0054.TFM,2020-11-15 00:45:00,KMIA,68
AAL2648.MIA.DCA.201114.0158.0054.TFM,2020-11-15 01:30:00,KMIA,23
AAL2650.MIA.SDQ.201114.0202.0029.TFM,2020-11-15 00:45:00,KMIA,71
AAL2650.MIA.SDQ.201114.0202.0029.TFM,2020-11-15 01:30:00,KMIA,26
AAL2651.MIA.SDQ.201114.0317.0014.TFM,2020-11-15 02:15:00,KMIA,49
AAL2651.MIA.SDQ.201114.0317.0014.TFM,2020-11-15 03:00:00,KMIA,4
AAL2767.MIA.SAL.201114.0007.0048.TFM,2020-11-15 00:00:00,KMIA,6
AAL2873.MIA.SAN.201114.0202.0040.TFM,2020-11-15 00:45:00,KMIA,74
AAL2873.MIA.SAN.201114.0202.0040.TFM,2020-11-15 01:30:00,KMIA,29
AAL305.MIA.SEA.201114.0158.0059.TFM,2020-11-15 00:45:00,KMIA,72
AAL305.MIA.SEA.201114.0158.0059.TFM,2020-11-15 01:30:00,KMIA,27
AAL342.MIA.CLT.201114.1122.0025.TFM,2020-11-15 10:30:00,KMIA,52
AAL342.MIA.CLT.201114.1122.0025.TFM,2020-11-15 11:15:00,KMIA,7
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 00:45:00,KMIA,271
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 01:30:00,KMIA,226
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 02:15:00,KMIA,181
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 03:00:00,KMIA,136
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 03:45:00,KMIA,91
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 04:30:00,KMIA,46
AAL366.MIA.PHL.201114.0158.0047.TFM,2020-11-15 05:15:00,KMIA,1
AAL463.MIA.MCO.201114.0007.0037.TFM,2020-11-15 00:00:00,KMIA,6
AAL557.MIA.SJU.201114.0202.0035.TFM,2020-11-15 00:45:00,KMIA,126
AAL557.MIA.SJU.201114.0202.0035.TFM,2020-11-15 01:30:00,KMIA,81
AAL557.MIA.SJU.201114.0202.0035.TFM,2020-11-15 02:15:00,KMIA,36
AAL648.MIA.MCO.201114.0217.0050.TFM,2020-11-15 01:30:00,KMIA,45
AAL669.MIA.DFW.201114.1027.0015.TFM,2020-11-15 09:00:00,KMIA,83
AAL669.MIA.DFW.201114.1027.0015.TFM,2020-11-15 09:45:00,KMIA,38
AAL671.MIA.MSY.201114.0227.0028.TFM,2020-11-15 01:30:00,KMIA,57
AAL671.MIA.MSY.201114.0227.0028.TFM,2020-11-15 02:15:00,KMIA,12
AAL678.MIA.BDL.201114.0202.0034.TFM,2020-11-15 00:45:00,KMIA,75
AAL678.MIA.BDL.201114.0202.0034.TFM,2020-11-15 01:30:00,KMIA,30
AAL696.MIA.BWI.201114.0227.0019.TFM,2020-11-15 01:30:00,KMIA,59
AAL696.MIA.BWI.201114.0227.0019.TFM,2020-11-15 02:15:00,KMIA,14
AAL772.MIA.PHX.201114.0158.0045.TFM,2020-11-15 00:45:00,KMIA,70
AAL772.MIA.PHX.201114.0158.0045.TFM,2020-11-15 01:30:00,KMIA,25
AAL907.MIA.EZE.201114.0217.0057.TFM,2020-11-15 01:30:00,KMIA,60
AAL907.MIA.EZE.201114.0217.0057.TFM,2020-11-15 02:15:00,KMIA,15
AAL929.MIA.GRU.201114.0242.0038.TFM,2020-11-15 01:30:00,KMIA,68
AAL929.MIA.GRU.201114.0242.0038.TFM,2020-11-15 02:15:00,KMIA,23
DAL1371.MIA.JFK.201114.0058.0041.TFM,2020-11-15 00:00:00,KMIA,45
DAL1386.MIA.ATL.201114.1057.0036.TFM,2020-11-15 10:30:00,KMIA,27
DAL1428.MIA.ATL.201114.1257.0166.TFM,2020-11-15 12:00:00,KMIA,56
DAL1482.MIA.LGA.201114.0058.0007.TFM,2020-11-15 00:00:00,KMIA,49
DAL1482.MIA.LGA.201114.0058.0007.TFM,2020-11-15 00:45:00,KMIA,4
DAL1636.MIA.ATL.201114.0007.0047.TFM,2020-11-15 00:00:00,KMIA,4
DAL1653.MIA.LGA.201114.1232.0046.TFM,2020-11-15 11:15:00,KMIA,76
DAL1653.MIA.LGA.201114.1232.0046.TFM,2020-11-15 12:00:00,KMIA,31
DAL8903.MIA.ATL.201114.0057.0044.TFM,2020-11-15 00:00:00,KMIA,143
DAL8903.MIA.ATL.201114.0057.0044.TFM,2020-11-15 00:45:00,KMIA,98
DAL8903.MIA.ATL.201114.0057.0044.TFM,2020-11-15 01:30:00,KMIA,53
DAL8903.MIA.ATL.201114.0057.0044.TFM,2020-11-15 02:15:00,KMIA,8
ENY3362.MIA.ORF.201114.1327.0088.TFM,2020-11-15 12:00:00,KMIA,84
ENY3579.MIA.GNV.201114.0232.0047.TFM,2020-11-15 01:30:00,KMIA,54
ENY3579.MIA.GNV.201114.0232.0047.TFM,2020-11-15 02:15:00,KMIA,9
ENY3676.MIA.CVG.201114.0007.0049.TFM,2020-11-15 00:00:00,KMIA,10
ENY3753.MIA.DAY.201114.0157.0039.TFM,2020-11-15 00:45:00,KMIA,66
ENY3753.MIA.DAY.201114.0157.0039.TFM,2020-11-15 01:30:00,KMIA,21
