gufi,timestamp,airport,minutes_until_pushback
AAL1113.ORD.PIT.201114.0047.0055.TFM,2020-11-15 00:00:00,KORD,40
AAL1384.ORD.LAX.201114.0137.0040.TFM,2020-11-15 00:45:00,KORD,49
AAL1384.ORD.LAX.201114.0137.0040.TFM,2020-11-15 01:30:00,KORD,4
AAL1452.ORD.MIA.201114.1257.0252.TFM,2020-11-15 12:00:00,KORD,54
AAL1960.ORD.STL.201114.0053.0004.TFM,2020-11-15 00:00:00,KORD,48
AAL1960.ORD.STL.201114.0053.0004.TFM,2020-11-15 00:45:00,KORD,3
AAL2187.ORD.LGA.201114.0028.0048.TFM,2020-11-15 00:00:00,KORD,28
AAL244.ORD.DFW.201114.1232.0044.TFM,2020-11-15 11:15:00,KORD,76
AAL244.ORD.DFW.201114.1232.0044.TFM,2020-11-15 12:00:00,KORD,31
AAL2527.ORD.CLT.201114.1127.0072.TFM,2020-11-15 10:30:00,KORD,51
AAL2527.ORD.CLT.201114.1127.0072.TFM,2020-11-15 11:15:00,KORD,6
AAL2588.ORD.PHL.201114.0043.0004.TFM,2020-11-15 00:00:00,KORD,39
AAL2693.ORD.PHL.201114.1057.0135.TFM,2020-11-15 09:45:00,KORD,65
AAL2693.ORD.PHL.201114.1057.0135.TFM,2020-11-15 10:30:00,KORD,20
AAL275.ORD.MIA.201114.0047.0053.TFM,2020-11-15 00:00:00,KORD,52
AAL275.ORD.MIA.201114.0047.0053.TFM,2020-11-15 00:45:00,KORD,7
AAL2847.ORD.PHX.201114.1158.0103.TFM,2020-11-15 11:15:00,KORD,40
AAL2920.ORD.SFO.201114.0047.0060.TFM,2020-11-15 00:00:00,KORD,36
AAL385.ORD.DEN.201114.0053.0020.TFM,2020-11-15 00:00:00,KORD,47
AAL385.ORD.DEN.201114.0053.0020.TFM,2020-11-15 00:45:00,KORD,2
AAL396.ORD.MCI.201114.0053.0012.TFM,2020-11-15 00:00:00,KORD,59
AAL396.ORD.MCI.201114.0053.0012.TFM,2020-11-15 00:45:00,KORD,14
AAL447.ORD.PHX.201114.1257.0264.TFM,2020-11-15 12:00:00,KORD,55
AAL492.ORD.CUN.201114.1322.0042.TFM,2020-11-15 12:00:00,KORD,81
AAL762.ORD.MIA.201114.1137.0025.TFM,2020-11-15 10:30:00,KORD,66
AAL762.ORD.MIA.201114.1137.0025.TFM,2020-11-15 11:15:00,KORD,21
AAL777.ORD.CLT.201114.0037.0018.TFM,2020-11-15 00:00:00,KORD,28
AAL836.ORD.BOS.201114.0137.0048.TFM,2020-11-15 00:45:00,KORD,45
AAL86.ORD.LHR.201114.0053.0002.TFM,2020-11-15 00:00:00,KORD,53
AAL86.ORD.LHR.201114.0053.0002.TFM,2020-11-15 00:45:00,KORD,8
AAL861.ORD.DFW.201114.0053.0019.TFM,2020-11-15 00:00:00,KORD,45
AAL883.ORD.PHX.201114.0047.0045.TFM,2020-11-15 00:00:00,KORD,48
AAL883.ORD.PHX.201114.0047.0045.TFM,2020-11-15 00:45:00,KORD,3
AAL914.ORD.CLT.201114.1302.0038.TFM,2020-11-15 12:00:00,KORD,52
AAL979.ORD.PHL.201114.1252.0026.TFM,2020-11-15 12:00:00,KORD,48
AWI3776.ORD.EVV.201114.0023.0023.TFM,2020-11-15 00:00:00,KORD,12
AWI3797.ORD.CWA.201114.0013.0018.TFM,2020-11-15 00:00:00,KORD,6
AWI3802.ORD.PIA.201114.0018.0038.TFM,2020-11-15 00:00:00,KORD,10
AWI3813.ORD.SPI.201114.0013.0009.TFM,2020-11-15 00:00:00,KORD,28
AWI3908.ORD.COU.201114.0018.0011.TFM,2020-11-15 00:00:00,KORD,10
AWI3956.ORD.MLI.201114.0018.0023.TFM,2020-11-15 00:00:00,KORD,10
AWI763A.ORD.DLH.201114.0018.0027.TFM,2020-11-15 00:00:00,KORD,43
BTQ836.ORD.IWD.201114.1656.0009.TFM,2020-11-15 01:30:00,KORD,40
DAL1332.ORD.ATL.201114.0023.0025.TFM,2020-11-15 00:00:00,KORD,32
DAL1423.ORD.ATL.201114.1158.0035.TFM,2020-11-15 11:15:00,KORD,35
DAL466.ORD.LGA.201114.1327.0142.TFM,2020-11-15 12:00:00,KORD,90
DAL663.ORD.SLC.201114.0032.0052.TFM,2020-11-15 00:00:00,KORD,25
DAL787.ORD.SEA.201114.1202.0032.TFM,2020-11-15 11:15:00,KORD,48
DAL787.ORD.SEA.201114.1202.0032.TFM,2020-11-15 12:00:00,KORD,3
EDV4957.ORD.JFK.201114.0047.0041.TFM,2020-11-15 00:00:00,KORD,44
ENY3348.ORD.GRB.201114.0037.0040.TFM,2020-11-15 00:00:00,KORD,35
ENY3351.ORD.XNA.201114.0028.0019.TFM,2020-11-15 00:00:00,KORD,18
ENY3385.ORD.GRR.201114.0042.0035.TFM,2020-11-15 00:00:00,KORD,33
