gufi,timestamp,airport,minutes_until_pushback
AAL1107.PHX.PDX.201114.0152.0079.TFM,2020-11-15 00:45:00,KPHX,65
AAL1107.PHX.PDX.201114.0152.0079.TFM,2020-11-15 01:30:00,KPHX,20
AAL1560.PHX.MSP.201114.0242.0033.TFM,2020-11-15 02:15:00,KPHX,18
AAL1820.PHX.RNO.201114.0152.0081.TFM,2020-11-15 00:45:00,KPHX,60
AAL1820.PHX.RNO.201114.0152.0081.TFM,2020-11-15 01:30:00,KPHX,15
AAL1917.PHX.SJC.201114.0142.0080.TFM,2020-11-15 00:45:00,KPHX,55
AAL1917.PHX.SJC.201114.0142.0080.TFM,2020-11-15 01:30:00,KPHX,10
AAL1946.PHX.DFW.201114.0137.0049.TFM,2020-11-15 00:45:00,KPHX,46
AAL1946.PHX.DFW.201114.0137.0049.TFM,2020-11-15 01:30:00,KPHX,1
AAL2054.PHX.MIA.201114.0817.0005.TFM,2020-11-15 07:30:00,KPHX,44
AAL2214.PHX.SAT.201114.0257.0067.TFM,2020-11-15 02:15:00,KPHX,43
AAL2315.PHX.DEN.201114.0257.0082.TFM,2020-11-15 02:15:00,KPHX,34
AAL2321.PHX.SJD.201114.0247.0028.TFM,2020-11-15 01:30:00,KPHX,72
AAL2321.PHX.SJD.201114.0247.0028.TFM,2020-11-15 02:15:00,KPHX,27
AAL2874.PHX.SAN.201114.0148.0017.TFM,2020-11-15 00:45:00,KPHX,60
AAL2874.PHX.SAN.201114.0148.0017.TFM,2020-11-15 01:30:00,KPHX,15
AAL388.PHX.DFW.201114.0247.0039.TFM,2020-11-15 01:30:00,KPHX,69
AAL388.PHX.DFW.201114.0247.0039.TFM,2020-11-15 02:15:00,KPHX,24
AAL399.PHX.SNA.201114.0148.0012.TFM,2020-11-15 00:45:00,KPHX,53
AAL399.PHX.SNA.201114.0148.0012.TFM,2020-11-15 01:30:00,KPHX,8
AAL44.PHX.LAX.201114.0142.0072.TFM,2020-11-15 00:45:00,KPHX,49
AAL44.PHX.LAX.201114.0142.0072.TFM,2020-11-15 01:30:00,KPHX,4
AAL482.PHX.STL.201114.0302.0029.TFM,2020-11-15 02:15:00,KPHX,40
AAL494.PHX.PHL.201114.0642.0012.TFM,2020-11-15 05:15:00,KPHX,81
AAL494.PHX.PHL.201114.0642.0012.TFM,2020-11-15 06:00:00,KPHX,36
AAL507.PHX.CLT.201114.1312.0093.TFM,2020-11-15 12:00:00,KPHX,71
AAL562.PHX.LAS.201114.0152.0050.TFM,2020-11-15 00:45:00,KPHX,62
AAL562.PHX.LAS.201114.0152.0050.TFM,2020-11-15 01:30:00,KPHX,17
AAL575.PHX.ORD.201114.0242.0020.TFM,2020-11-15 01:30:00,KPHX,72
AAL575.PHX.ORD.201114.0242.0020.TFM,2020-11-15 02:15:00,KPHX,27
AAL578.PHX.SEA.201114.0158.0046.TFM,2020-11-15 01:30:00,KPHX,21
AAL599.PHX.CLT.201114.0847.0006.TFM,2020-11-15 07:30:00,KPHX,78
AAL599.PHX.CLT.201114.0847.0006.TFM,2020-11-15 08:15:00,KPHX,33
AAL655.PHX.PHL.201114.1322.0045.TFM,2020-11-15 12:00:00,KPHX,75
AAL698.PHX.DFW.201114.1257.0141.TFM,2020-11-15 12:00:00,KPHX,54
AAL699.PHX.GEG.201114.0252.0050.TFM,2020-11-15 02:15:00,KPHX,34
AAL820.PHX.LAX.201114.0302.0037.TFM,2020-11-15 02:15:00,KPHX,38
AAL839.PHX.SMF.201114.0148.0016.TFM,2020-11-15 00:45:00,KPHX,61
AAL839.PHX.SMF.201114.0148.0016.TFM,2020-11-15 01:30:00,KPHX,16
AAL99.PHX.SFO.201114.0142.0085.TFM,2020-11-15 00:45:00,KPHX,53
AAL99.PHX.SFO.201114.0142.0085.TFM,2020-11-15 01:30:00,KPHX,8
ASA943.PHX.SEA.201114.0312.0015.TFM,2020-11-15 02:15:00,KPHX,60
ASA943.PHX.SEA.201114.0312.0015.TFM,2020-11-15 03:00:00,KPHX,15
ASH5746.PHX.CID.201114.0247.0034.TFM,2020-11-15 01:30:00,KPHX,72
ASH5746.PHX.CID.201114.0247.0034.TFM,2020-11-15 02:15:00,KPHX,27
ASH5833.PHX.MAF.201114.0252.0056.TFM,2020-11-15 01:30:00,KPHX,79
ASH5833.PHX.MAF.201114.0252.0056.TFM,2020-11-15 02:15:00,KPHX,34
ASH5834.PHX.BUR.201114.0158.0006.TFM,2020-11-15 00:45:00,KPHX,68
ASH5834.PHX.BUR.201114.0158.0006.TFM,2020-11-15 01:30:00,KPHX,23
ASH5870.PHX.TUS.201114.0252.0055.TFM,2020-11-15 02:15:00,KPHX,48
ASH5870.PHX.TUS.201114.0252.0055.TFM,2020-11-15 03:00:00,KPHX,3
ASH5881.PHX.LGB.201114.0142.0070.TFM,2020-11-15 00:45:00,KPHX,56
ASH5881.PHX.LGB.201114.0142.0070.TFM,2020-11-15 01:30:00,KPHX,11
ASH5900.PHX.MEM.201114.0247.0035.TFM,2020-11-15 01:30:00,KPHX,73
ASH5900.PHX.MEM.201114.0247.0035.TFM,2020-11-15 02:15:00,KPHX,28
ASH5914.PHX.ONT.201114.0142.0076.TFM,2020-11-15 00:45:00,KPHX,56
ASH5914.PHX.ONT.201114.0142.0076.TFM,2020-11-15 01:30:00,KPHX,11
ASH5955.PHX.ELP.201114.0307.0039.TFM,2020-11-15 02:15:00,KPHX,45
ASH5973.PHX.BOI.201114.0252.0065.TFM,2020-11-15 01:30:00,KPHX,80
ASH5973.PHX.BOI.201114.0252.0065.TFM,2020-11-15 02:15:00,KPHX,35
ASH5988.PHX.TUL.201114.0252.0060.TFM,2020-11-15 01:30:00,KPHX,85
ASH5988.PHX.TUL.201114.0252.0060.TFM,2020-11-15 02:15:00,KPHX,40
ASH5992.PHX.FSD.201114.0307.0033.TFM,2020-11-15 02:15:00,KPHX,47
ASH5992.PHX.FSD.201114.0307.0033.TFM,2020-11-15 03:00:00,KPHX,2
ASH5997.PHX.MCI.201114.0257.0068.TFM,2020-11-15 02:15:00,KPHX,52
ASH5997.PHX.MCI.201114.0257.0068.TFM,2020-11-15 03:00:00,KPHX,7
BTQ815.PHX.SOW.201114.2332.0008.TFM,2020-11-15 00:00:00,KPHX,20
DAL1472.PHX.ATL.201114.1257.0133.TFM,2020-11-15 12:00:00,KPHX,54
DAL2133.PHX.DTW.201114.0652.0008.TFM,2020-11-15 06:00:00,KPHX,48
DAL2133.PHX.DTW.201114.0652.0008.TFM,2020-11-15 06:45:00,KPHX,3
DAL2254.PHX.SLC.201114.0117.0046.TFM,2020-11-15 00:00:00,KPHX,95
DAL2254.PHX.SLC.201114.0117.0046.TFM,2020-11-15 00:45:00,KPHX,50
DAL2254.PHX.SLC.201114.0117.0046.TFM,2020-11-15 01:30:00,KPHX,5
DAL925.PHX.ATL.201114.0647.0004.TFM,2020-11-15 06:00:00,KPHX,37
FDX3734.PHX.ONT.201114.0413.0005.TFM,2020-11-15 02:15:00,KPHX,34
FDX428.PHX.MEM.201114.1343.0029.TFM,2020-11-15 12:00:00,KPHX,23
NKS974.PHX.DFW.201114.0257.0021.TFM,2020-11-15 01:30:00,KPHX,72
NKS974.PHX.DFW.201114.0257.0021.TFM,2020-11-15 02:15:00,KPHX,27
SKW2993.PHX.BFL.201114.0158.0027.TFM,2020-11-15 00:45:00,KPHX,65
SKW2993.PHX.BFL.201114.0158.0027.TFM,2020-11-15 01:30:00,KPHX,20
SKW3009.PHX.GJT.201114.0252.0034.TFM,2020-11-15 01:30:00,KPHX,80
SKW3009.PHX.GJT.201114.0252.0034.TFM,2020-11-15 02:15:00,KPHX,35
SKW3010.PHX.YUM.201114.0647.0005.TFM_TFDM,2020-11-15 00:45:00,KPHX,48
SKW3010.PHX.YUM.201114.0647.0005.TFM_TFDM,2020-11-15 01:30:00,KPHX,3
SKW3054.PHX.FAT.201114.0142.0037.TFM,2020-11-15 00:45:00,KPHX,52
SKW3054.PHX.FAT.201114.0142.0037.TFM,2020-11-15 01:30:00,KPHX,7
SKW3074.PHX.OKC.201114.0247.0044.TFM,2020-11-15 02:15:00,KPHX,31
