gufi,timestamp,airport,minutes_until_pushback
AAL1471.SEA.MIA.201114.0717.0004.TFM,2020-11-15 06:00:00,KSEA,74
AAL1471.SEA.MIA.201114.0717.0004.TFM,2020-11-15 06:45:00,KSEA,29
AAL1886.SEA.CLT.201114.0747.0011.TFM,2020-11-15 06:45:00,KSEA,62
AAL1886.SEA.CLT.201114.0747.0011.TFM,2020-11-15 07:30:00,KSEA,17
ASA1012.SEA.MSP.201114.0237.0031.TFM,2020-11-15 01:30:00,KSEA,65
ASA1012.SEA.MSP.201114.0237.0031.TFM,2020-11-15 02:15:00,KSEA,20
ASA105.SEA.ANC.201114.0043.0039.TFM,2020-11-15 00:00:00,KSEA,45
ASA107.SEA.ANC.201114.0142.0079.TFM,2020-11-15 00:45:00,KSEA,60
ASA107.SEA.ANC.201114.0142.0079.TFM,2020-11-15 01:30:00,KSEA,15
ASA115.SEA.ANC.201114.0347.0020.TFM,2020-11-15 03:00:00,KSEA,50
ASA115.SEA.ANC.201114.0347.0020.TFM,2020-11-15 03:45:00,KSEA,5
ASA1150.SEA.BUR.201114.0312.0026.TFM,2020-11-15 02:15:00,KSEA,60
ASA1150.SEA.BUR.201114.0312.0026.TFM,2020-11-15 03:00:00,KSEA,15
ASA1151.SEA.DEN.201114.0352.0009.TFM,2020-11-15 03:00:00,KSEA,55
ASA1151.SEA.DEN.201114.0352.0009.TFM,2020-11-15 03:45:00,KSEA,10
ASA119.SEA.ANC.201114.0542.0016.TFM,2020-11-15 04:30:00,KSEA,75
ASA119.SEA.ANC.201114.0542.0016.TFM,2020-11-15 05:15:00,KSEA,30
ASA1205.SEA.PDX.201114.0527.0019.TFM,2020-11-15 04:30:00,KSEA,60
ASA1205.SEA.PDX.201114.0527.0019.TFM,2020-11-15 05:15:00,KSEA,15
ASA127.SEA.ANC.201114.0717.0009.TFM,2020-11-15 06:00:00,KSEA,80
ASA127.SEA.ANC.201114.0717.0009.TFM,2020-11-15 06:45:00,KSEA,35
ASA129.SEA.HNL.201114.0128.0002.TFM,2020-11-15 00:45:00,KSEA,85
ASA129.SEA.HNL.201114.0128.0002.TFM,2020-11-15 01:30:00,KSEA,40
ASA1327.SEA.BOI.201114.0522.0016.TFM,2020-11-15 04:30:00,KSEA,55
ASA1327.SEA.BOI.201114.0522.0016.TFM,2020-11-15 05:15:00,KSEA,10
ASA1344.SEA.PDX.201114.0702.0007.TFM,2020-11-15 06:00:00,KSEA,65
ASA1344.SEA.PDX.201114.0702.0007.TFM,2020-11-15 06:45:00,KSEA,20
ASA1462.SEA.SAN.201114.0132.0060.TFM,2020-11-15 00:45:00,KSEA,50
ASA1462.SEA.SAN.201114.0132.0060.TFM,2020-11-15 01:30:00,KSEA,5
ASA1470.SEA.BNA.201114.0122.0022.TFM,2020-11-15 00:00:00,KSEA,85
ASA1470.SEA.BNA.201114.0122.0022.TFM,2020-11-15 00:45:00,KSEA,40
ASA223.SEA.FAI.201114.0527.0026.TFM,2020-11-15 04:30:00,KSEA,60
ASA223.SEA.FAI.201114.0527.0026.TFM,2020-11-15 05:15:00,KSEA,15
ASA370.SEA.LAX.201114.0502.0009.TFM,2020-11-15 03:45:00,KSEA,80
ASA370.SEA.LAX.201114.0502.0009.TFM,2020-11-15 04:30:00,KSEA,35
ASA378.SEA.SFO.201114.0342.0012.TFM,2020-11-15 03:00:00,KSEA,45
ASA422.SEA.ONT.201114.0502.0014.TFM,2020-11-15 03:45:00,KSEA,80
ASA422.SEA.ONT.201114.0502.0014.TFM,2020-11-15 04:30:00,KSEA,35
ASA434.SEA.MCI.201114.0148.0021.TFM,2020-11-15 00:45:00,KSEA,65
ASA434.SEA.MCI.201114.0148.0021.TFM,2020-11-15 01:30:00,KSEA,20
ASA600.SEA.LAS.201114.0152.0047.TFM,2020-11-15 00:45:00,KSEA,70
ASA600.SEA.LAS.201114.0152.0047.TFM,2020-11-15 01:30:00,KSEA,25
ASA664.SEA.DFW.201114.0158.0056.TFM,2020-11-15 00:45:00,KSEA,75
ASA664.SEA.DFW.201114.0158.0056.TFM,2020-11-15 01:30:00,KSEA,30
ASA678.SEA.GEG.201114.0532.0014.TFM,2020-11-15 04:30:00,KSEA,65
ASA678.SEA.GEG.201114.0532.0014.TFM,2020-11-15 05:15:00,KSEA,20
ASA688.SEA.LAS.201114.0003.0043.TFM,2020-11-15 00:00:00,KSEA,5
ASA69.SEA.KTN.201114.0302.0031.TFM,2020-11-15 02:15:00,KSEA,50
ASA69.SEA.KTN.201114.0302.0031.TFM,2020-11-15 03:00:00,KSEA,5
ASA706.SEA.SAN.201114.0517.0009.TFM,2020-11-15 04:30:00,KSEA,50
ASA706.SEA.SAN.201114.0517.0009.TFM,2020-11-15 05:15:00,KSEA,5
